AT,AUT,EU,,,AT,AUT
BE,BEL,EU,,,BE,BEL
BG,BGR,EU,,,BG,BGR
CY,CYP,EU,,,CY,CYP
CZ,CZE,EU,,,CZ,CZE
DE,DEU,EU,,,DE,DEU
DK,DNK,EU,,,DK,DNK
EE,EST,EU,,,EE,EST
ES,ESP,EU,,,ES,ESP
FI,FIN,EU,,,FI,FIN
FR,FRA,EU,,,FR,FRA
GB,GBR,EU,,,GB,GBR
GR,GRC,EU,,,GR,GRC
HU,HUN,EU,,,HU,HUN
IE,IRL,EU,,,IE,IRL
IT,ITA,EU,,,IT,ITA
LT,LTU,EU,,,LT,LTU
LU,LUX,EU,,,LU,LUX
LV,LVA,EU,,,LV,LVA
MT,MLT,EU,,,MT,MLT
NL,NLD,EU,,,NL,NLD
PL,POL,EU,,,PL,POL
PT,PRT,EU,,,PT,PRT
RO,ROM,EU,,,RO,ROM
SE,SWE,EU,,,SE,SWE
SI,SVN,EU,,,SI,SVN
SK,SVK,EU,,,SK,SVK
ISO-2,ISO-3,Region,ROW 2 digit,ROW 3 digit,EU - 2 digit,EU - 3 digit
AD,AND,ROW,AD,AND,,
AE,ARE,ROW,AE,ARE,,
AF,AFG,ROW,AF,AFG,,
AG,ATG,ROW,AG,ATG,,
AI,AIA,ROW,AI,AIA,,
AL,ALB,ROW,AL,ALB,,
AM,ARM,ROW,AM,ARM,,
AN,ANT,ROW,AN,ANT,,
AO,AGO,ROW,AO,AGO,,
AQ,ATA,ROW,AQ,ATA,,
AR,ARG,ROW,AR,ARG,,
AS,ASM,ROW,AS,ASM,,
AU,AUS,ROW,AU,AUS,,
AW,ABW,ROW,AW,ABW,,
AX,ALA,ROW,AX,ALA,,
AZ,AZE,ROW,AZ,AZE,,
BA,BIH,ROW,BA,BIH,,
BB,BRB,ROW,BB,BRB,,
BD,BGD,ROW,BD,BGD,,
BF,BFA,ROW,BF,BFA,,
BH,BHR,ROW,BH,BHR,,
BI,BDI,ROW,BI,BDI,,
BJ,BEN,ROW,BJ,BEN,,
BL,BLM,ROW,BL,BLM,,
BM,BMU,ROW,BM,BMU,,
BN,BRN,ROW,BN,BRN,,
